,A,B
0,-1.4695698044365153,2.375773320666595
1,-0.05017158958670387,2.2313806955217115
2,-2.0125017609501166,1.7590704024560775
3,0.04514402268544476,3.1116288883044447
4,-0.09702141008182708,2.728988052630198
5,-0.11556921145029547,2.300826229162379
6,-1.2477800273569393,2.246004079624295
7,-2.647042036660684,1.8669418193409661
8,-1.9304890398106662,2.450487236954312
9,0.10290036853098136,1.7187034350036834
10,-2.834211702342686,1.752807334786648
11,0.4021197496787007,2.195457433923341
12,0.19964384565682747,1.5981102774618314
13,0.18184558805574158,1.71972852034137
14,-2.6502360884402414,1.771736476392462
15,0.6070632022653972,2.5401994063678197
16,-1.419176510847634,2.142618614179744
17,0.42183212475675513,2.349552362114815
18,0.8602798764745903,2.361734214182543
19,-2.801224218660644,1.7924336538512935
20,0.8762102815201425,2.1136250517836666
21,-2.649668147958309,1.778726703298244
22,-0.9701517366211999,2.20117587442608
23,-2.8673645187376073,1.7944132549949927
24,-2.8196027312307965,1.7409230181136863
25,-1.6106455405343538,1.7280890364408594
26,-2.1193244409363525,2.101352198099957
27,-0.9263943413004179,2.3711905539911577
28,-1.5284326351319681,2.657925776703203
29,-0.4604302357623356,2.5141717425304364
30,-2.8299711237327827,1.9296885192726674
31,-2.819285546034978,1.6221987147041492
32,0.21312806547143376,2.4630065131986028
33,-1.3295814338016054,2.0741488410735602
34,0.037908857828925335,1.3846739592113106
35,-2.7891351628505268,1.9438239520733758
36,0.30978396950398546,1.6893901872520636
37,-1.8612659536799199,2.738592688164057
38,-2.76680257845115,1.8735026584377361
39,-2.574005301337374,1.8869039329253825
40,-2.8300193736800163,1.6820017906541795
41,-1.6150269368794539,2.033042941693775
42,-2.758449738570199,1.7076455343286783
43,0.619758619737302,2.1334102725919926
44,-1.5397131592700541,2.2071570978233357
45,-2.734529429629689,1.8894352304820532
46,-2.745125488022167,1.8676628989555886
47,-1.8580775766774549,1.984994956677388
48,-1.5298831895684593,2.809861189024004
49,-1.3850634444727463,2.9742785158423097
